Volume of Key-Value Pairs,Get Runtime
0,0
524288,0
1048576,0
1572864,0
2097152,0
2621440,0
3145728,0
3670016,0
4194304,1
4718592,0
5242880,0
5767168,0
6291456,1
6815744,1
7340032,1
7864320,1
8388608,1
8912896,1
9437184,1
9961472,190
10485760,41
11010048,41
11534336,37
12058624,35
12582912,34
13107200,33
13631488,31
14155776,28
14680064,29
15204352,29
15728640,28
16252928,27
16777216,28
17301504,27
17825792,26
18350080,25
18874368,23
19398656,30
19922944,31
20447232,218
20971520,151
21495808,149
22020096,152
22544384,132
23068672,130
23592960,128
24117248,137
24641536,123
25165824,122
25690112,124
26214400,115
26738688,122
27262976,108
27787264,128
28311552,112
28835840,104
29360128,104
29884416,96
30408704,114
30932992,188
31457280,194
31981568,174
32505856,186
33030144,173
33554432,175
34078720,171
34603008,168
35127296,162
35651584,163
36175872,151
36700160,161
37224448,154
37748736,153
38273024,154
38797312,148
39321600,152
39845888,163
40370176,156
40894464,153
41418752,218
41943040,229
42467328,215
42991616,232
43515904,225
44040192,224
44564480,238
45088768,217
45613056,210
46137344,197
46661632,195
47185920,219
47710208,211
48234496,205
48758784,208
49283072,215
49807360,200
50331648,194
50855936,199
51380224,188
51904512,404
