Volume of Key-Value Pairs,Get Runtime
0,0
524288,0
1048576,0
1572864,0
2097152,0
2621440,0
3145728,0
3670016,0
4194304,0
4718592,0
5242880,0
5767168,1
6291456,0
6815744,0
7340032,0
7864320,1
8388608,1
8912896,1
9437184,1
9961472,136
10485760,42
11010048,38
11534336,39
12058624,38
12582912,36
13107200,36
13631488,32
14155776,29
14680064,31
15204352,26
15728640,31
16252928,28
16777216,27
17301504,25
17825792,29
18350080,25
18874368,24
19398656,31
19922944,33
20447232,149
20971520,173
21495808,158
22020096,154
22544384,144
23068672,143
23592960,137
24117248,136
24641536,124
25165824,135
25690112,132
26214400,120
26738688,152
27262976,113
27787264,117
28311552,124
28835840,126
29360128,123
29884416,155
30408704,113
30932992,182
31457280,166
31981568,169
32505856,172
33030144,178
33554432,168
34078720,166
34603008,163
35127296,155
35651584,154
36175872,152
36700160,148
37224448,146
37748736,146
38273024,157
38797312,186
39321600,132
39845888,140
40370176,138
40894464,141
41418752,590
41943040,646
42467328,584
42991616,582
43515904,550
44040192,541
44564480,569
45088768,564
45613056,635
46137344,553
46661632,518
47185920,544
47710208,512
48234496,514
48758784,532
49283072,495
49807360,510
50331648,536
50855936,498
51380224,482
51904512,700
