Volume of Key-Value Pairs,Cumulative Put Runtime
0,249
524288,486
1048576,658
1572864,817
2097152,991
2621440,1162
3145728,1331
3670016,1508
4194304,1680
4718592,2044
5242880,2329
5767168,2617
6291456,2865
6815744,3110
7340032,3333
7864320,3540
8388608,3761
8912896,3989
9437184,4164
9961472,5126
10485760,5385
11010048,5623
11534336,5815
12058624,6000
12582912,6199
13107200,6425
13631488,6638
14155776,6848
14680064,7032
15204352,7275
15728640,7500
16252928,7698
16777216,7922
17301504,8146
17825792,8338
18350080,8570
18874368,8807
19398656,9027
19922944,9245
20447232,115065
20971520,115298
21495808,115547
22020096,115836
22544384,116072
23068672,116326
23592960,116530
24117248,116721
24641536,116964
25165824,117254
25690112,117519
26214400,117743
26738688,117973
27262976,118241
27787264,118477
28311552,118745
28835840,118965
29360128,119203
29884416,119417
30408704,119661
30932992,120840
31457280,121035
31981568,121257
32505856,121644
33030144,121866
33554432,122137
34078720,122336
34603008,122692
35127296,122948
35651584,123232
36175872,123473
36700160,123705
37224448,123988
37748736,124238
38273024,124445
38797312,124658
39321600,124902
39845888,125228
40370176,125487
40894464,125708
41418752,740729
41943040,740890
42467328,741093
42991616,741405
43515904,741652
44040192,741872
44564480,742075
45088768,742283
45613056,742523
46137344,742758
46661632,742981
47185920,743184
47710208,743423
48234496,743638
48758784,743897
49283072,744114
49807360,744324
50331648,744560
50855936,744818
51380224,745100
51904512,746243
