Volume of Key-Value Pairs,Scan Runtime
0,1
524288,3
1048576,5
1572864,6
2097152,11
2621440,11
3145728,11
3670016,13
4194304,18
4718592,18
5242880,20
5767168,21
6291456,27
6815744,34
7340032,27
7864320,25
8388608,32
8912896,33
9437184,37
9961472,270
10485760,62
11010048,76
11534336,91
12058624,94
12582912,113
13107200,117
13631488,115
14155776,111
14680064,118
15204352,133
15728640,131
16252928,124
16777216,147
17301504,153
17825792,159
18350080,166
18874368,168
19398656,164
19922944,163
20447232,569
20971520,535
21495808,565
22020096,558
22544384,559
23068672,576
23592960,541
24117248,550
24641536,560
25165824,546
25690112,553
26214400,579
26738688,560
27262976,561
27787264,591
28311552,574
28835840,576
29360128,591
29884416,579
30408704,580
30932992,837
31457280,809
31981568,824
32505856,801
33030144,811
33554432,822
34078720,838
34603008,830
35127296,858
35651584,829
36175872,843
36700160,837
37224448,847
37748736,833
38273024,855
38797312,836
39321600,858
39845888,847
40370176,839
40894464,855
41418752,795
41943040,810
42467328,803
42991616,794
43515904,789
44040192,835
44564480,801
45088768,798
45613056,813
46137344,819
46661632,809
47185920,797
47710208,800
48234496,791
48758784,810
49283072,788
49807360,836
50331648,807
50855936,821
51380224,813
51904512,1013
