Volume of Key-Value Pairs,Scan Runtime
0,1
524288,3
1048576,5
1572864,6
2097152,9
2621440,10
3145728,12
3670016,13
4194304,17
4718592,18
5242880,19
5767168,24
6291456,23
6815744,24
7340032,24
7864320,27
8388608,34
8912896,34
9437184,34
9961472,366
10485760,61
11010048,77
11534336,93
12058624,98
12582912,106
13107200,123
13631488,109
14155776,118
14680064,117
15204352,122
15728640,148
16252928,129
16777216,145
17301504,154
17825792,158
18350080,171
18874368,165
19398656,173
19922944,166
20447232,820
20971520,841
21495808,821
22020096,855
22544384,893
23068672,635
23592960,916
24117248,679
24641536,678
25165824,735
25690112,751
26214400,634
26738688,740
27262976,658
27787264,911
28311552,655
28835840,741
29360128,770
29884416,865
30408704,785
30932992,1062
31457280,1092
31981568,1220
32505856,1064
33030144,994
33554432,1091
34078720,1128
34603008,1122
35127296,1003
35651584,1170
36175872,1009
36700160,1063
37224448,1232
37748736,1339
38273024,1019
38797312,1207
39321600,1036
39845888,1139
40370176,1086
40894464,1046
41418752,1853
41943040,1863
42467328,1841
42991616,1863
43515904,1862
44040192,1861
44564480,1871
45088768,1278
45613056,1279
46137344,1296
46661632,1283
47185920,1304
47710208,1347
48234496,1299
48758784,1330
49283072,1335
49807360,1325
50331648,1353
50855936,1353
51380224,1327
51904512,1623
